Actinium,227, 89, Ac
Aluminum,26.98154, 13, Al
Americium,243, 95, Am
Antimony,121.757, 51, Sb
Argon,39.948, 18, Ar
Arsenic,74.9216, 33, As
Astatine,210, 85, At
Gold,196.9665, 79, Au
Boron,10.811, 5, B
Barium,137.33, 56, Ba
Beryllium,9.01218, 4, Be
Bohrium,262, 107, Bh
Bismuth,208.9804, 83, Bi
Berkelium,247, 97, Bk
Bromine,79.904, 35, Br
Carbon,12.011, 6, C
Calcium,40.078, 20, Ca
Cadmium,112.41, 48, Cd
Cerium,140.12, 58, Ce
Californium,251, 98, Cf
Chlorine,35.4527, 17, Cl
Curium,247, 96, Cm
Cobalt,58.9332, 27, Co
Chromium,51.996, 24, Cr
Cesium,132.9054, 55, Cs
Copper,63.546, 29, Cu
Dubnium,262, 105, Db
Dysprosium,162.5, 66, Dy
Erbium,167.26, 68, Er
Einsteinium,252, 99, Es
Europium,151.965, 63, Eu
Fluorine,18.9984, 9, F
Iron,55.847, 26, Fe
Fermium,257, 100, Fm
Francium,223, 87, Fr
Gallium,69.723, 31, Ga
Gadolinium,157.25, 64, Gd
Germanium,72.61, 32, Ge
Hydrogen,1.00794, 1, H
Helium,4.0026, 2, He
Hafnium,178.49, 72, Hf
Mercury,200.59, 80, Hg
Holmium,164.9303, 67, Ho
Hassium,265, 108, Hs
Iodine,126.9045, 53, I
Indium,114.82, 49, In
Iridium,192.22, 77, Ir
Potassium,39.0983, 19, K
Krypton,83.8, 36, Kr
Lanthanum,138.9055, 57, La
Lithium,6.941, 3, Li
Lawrencium,262, 103, Lr
Lutetium,174.967, 71, Lu
Mendelevium,258, 101, Md
Magnesium,24.305, 12, Mg
Manganese,54.938, 25, Mn
Molybdenum,95.94, 42, Mo
Meitnerium,266, 109, Mt
Nitrogen,14.0067, 7, N
Sodium,22.98977, 11, Na
Niobium,92.9064, 41, Nb
Neodymium,144.24, 60, Nd
Neon,20.1797, 10, Ne
Nickel,58.6934, 28, Ni
Nobelium,259, 102, No
Neptunium,237.0482, 93, Np
Oxygen,15.9994, 8, O
Osmium,190.2, 76, Os
Phosphorus,30.97376, 15, P
Protactinium,231.0359, 91, Pa
Lead,207.2, 82, Pb
Palladium,106.42, 46, Pd
Promethium,145, 61, Pm
Polonium,209, 84, Po
Praseodymium,140.9077, 59, Pr
Platinum,195.08, 78, Pt
Plutonium,244, 94, Pu
Radium,226.0254, 88, Ra
Rubidium,85.4678, 37, Rb
Rhenium,186.207, 75, Re
Rutherfordium,261, 104, Rf
Rhodium,102.9055, 45, Rh
Radon,222, 86, Rn
Ruthenium,101.07, 44, Ru
Sulfur,32.066, 16, S
Silver,107.868, 47, Ag
Scandium,44.9559, 21, Sc
Selenium,78.96, 34, Se
Seaborgium,263, 106, Sg
Silicon,28.0855, 14, Si
Samarium,150.36, 62, Sm
Strontium,87.62, 38, Sr
Tantalum,180.9479, 73, Ta
Terbium,158.9253, 65, Tb
Technetium,98, 43, Tc
Tellurium,127.6, 52, Te
Thorium,232.0381, 90, Th
Tin,118.71, 50, Sn
Titanium,47.88, 22, Ti
Thallium,204.383, 81, Tl
Thulium,168.9342, 69, Tm
Uranium,238.029, 92, U
ununbium,277, 112, Uub
ununnilium,269, 110, Uun
unununium,272, 111, Uuu
Vanadium,50.9415, 23, V
Tungsten,183.85, 74, W
Xenon,131.29, 54, Xe
Yttrium,88.9059, 39, Y
Ytterbium,173.04, 70, Yb
Zinc,65.39, 30, Zn
Zirconium,91.224, 40, Zr